"ClimateZone","level","value","N","Freq","n1","PresentIn","n2","PresentIn (as Hub)"
"Af","Kingdom","Bacteria",8,1,17,"Af, Am, Aw, BSk, BWk, Cfa, Cfb, Csa, Csb, Cwb, Dfa, Dfb, Dfc, Dwb, Dwc, EF, ET",17,"Af+Am+Aw+BSk+BWk+Cfa+Cfb+Csa+Csb+Cwb+Dfa+Dfb+Dfc+Dwb+Dwc+EF+ET"
"Af","Phylum","Acidobacteria",4,0.5,17,"Af, Am, Aw, BSk, BWk, Cfa, Cfb, Csa, Csb, Cwb, Dfa, Dfb, Dfc, Dwb, Dwc, EF, ET",16,"Af+Am+Aw+BSk+BWk+Cfa+Cfb+Csa+Csb+Cwb+Dfa+Dfb+Dfc+Dwb+Dwc+EF"
"Af","Phylum","Proteobacteria",2,0.25,17,"Af, Am, Aw, BSk, BWk, Cfa, Cfb, Csa, Csb, Cwb, Dfa, Dfb, Dfc, Dwb, Dwc, EF, ET",16,"Af+Am+Aw+BSk+BWk+Cfa+Cfb+Csa+Csb+Cwb+Dfa+Dfb+Dfc+Dwb+Dwc+ET"
"Af","Phylum","Actinobacteria",1,0.125,17,"Af, Am, Aw, BSk, BWk, Cfa, Cfb, Csa, Csb, Cwb, Dfa, Dfb, Dfc, Dwb, Dwc, EF, ET",14,"Af+Am+Aw+BSk+Cfa+Csa+Csb+Cwb+Dfa+Dfc+Dwb+Dwc+EF+ET"
"Af","Phylum","Bacteroidetes",1,0.125,17,"Af, Am, Aw, BSk, BWk, Cfa, Cfb, Csa, Csb, Cwb, Dfa, Dfb, Dfc, Dwb, Dwc, EF, ET",7,"Af+Cfb+Csa+Dfa+Dfb+Dfc+Dwc"
"Af","Class","Acidobacteria-6",1,0.125,17,"Af, Am, Aw, BSk, BWk, Cfa, Cfb, Csa, Csb, Cwb, Dfa, Dfb, Dfc, Dwb, Dwc, EF, ET",9,"Af+Aw+BSk+Csa+Cwb+Dfa+Dfb+Dfc+Dwc"
"Af","Class","Acidobacteriia",1,0.125,17,"Af, Am, Aw, BSk, BWk, Cfa, Cfb, Csa, Csb, Cwb, Dfa, Dfb, Dfc, Dwb, Dwc, EF, ET",9,"Af+Am+Cfa+Cfb+Csb+Dfa+Dfb+Dfc+EF"
"Af","Class","Alphaproteobacteria",1,0.125,17,"Af, Am, Aw, BSk, BWk, Cfa, Cfb, Csa, Csb, Cwb, Dfa, Dfb, Dfc, Dwb, Dwc, EF, ET",12,"Af+Am+Aw+BSk+BWk+Cfb+Csa+Csb+Cwb+Dfb+Dwb+ET"
"Af","Class","Chloracidobacteria",1,0.125,17,"Af, Am, Aw, BSk, BWk, Cfa, Cfb, Csa, Csb, Cwb, Dfa, Dfb, Dfc, Dwb, Dwc, EF, ET",9,"Af+Cfa+Csb+Dfa+Dfb+Dfc+Dwb+Dwc+EF"
"Af","Class","Cytophagia",1,0.125,17,"Af, Am, Aw, BSk, BWk, Cfa, Cfb, Csa, Csb, Cwb, Dfa, Dfb, Dfc, Dwb, Dwc, EF, ET",6,"Af+Cfb+Csa+Dfa+Dfb+Dwc"
"Af","Class","Deltaproteobacteria",1,0.125,17,"Af, Am, Aw, BSk, BWk, Cfa, Cfb, Csa, Csb, Cwb, Dfa, Dfb, Dfc, Dwb, Dwc, EF, ET",7,"Af+Am+Cfa+Cfb+Csb+Cwb+Dfa"
