"Cluster","level","name","N","Freq"
"1","Kingdom","Bacteria",318,1
"1","Phylum","Proteobacteria",90,0.283
"1","Phylum","Acidobacteria",61,0.1918
"1","Phylum","Actinobacteria",55,0.173
"1","Phylum","Planctomycetes",28,0.0881
"1","Phylum","Bacteroidetes",24,0.0755
"1","Phylum","Verrucomicrobia",24,0.0755
"1","Phylum","Gemmatimonadetes",17,0.0535
"1","Phylum","Chloroflexi",8,0.0252
"1","Phylum","WS3",3,0.0094
"1","Phylum","Nitrospirae",2,0.0063
"1","Phylum","Cyanobacteria",2,0.0063
"1","Phylum","Chlorobi",1,0.0031
"1","Phylum","Elusimicrobia",1,0.0031
"1","Phylum","unassigned",1,0.0031
"1","Phylum","Firmicutes",1,0.0031
"1","Class","Alphaproteobacteria",35,0.1101
"1","Class","Deltaproteobacteria",29,0.0912
"1","Class","Actinobacteria",23,0.0723
"1","Class","Acidobacteria-6",19,0.0597
"1","Class","Thermoleophilia",19,0.0597
"1","Class","Planctomycetia",19,0.0597
"1","Class","Chloracidobacteria",18,0.0566
"1","Class","Betaproteobacteria",15,0.0472
"1","Class","Pedosphaerae",13,0.0409
"1","Class","Gemmatimonadetes",10,0.0314
"1","Class","Cytophagia",10,0.0314
"1","Class","Gammaproteobacteria",9,0.0283
"1","Class","Saprospirae",8,0.0252
"1","Class","Rubrobacteria",7,0.022
"1","Class","unassigned",7,0.022
"1","Class","Solibacteres",6,0.0189
"1","Class","Phycisphaerae",6,0.0189
"1","Class","Sva0725",5,0.0157
"1","Class","Spartobacteria",5,0.0157
"1","Class","Opitutae",4,0.0126
"1","Class","TK10",4,0.0126
"1","Class","iii1-8",4,0.0126
"1","Class","Sphingobacteriia",4,0.0126
"1","Class","Acidimicrobiia",4,0.0126
"1","Class","PRR-12",3,0.0094
"1","Class","Acidobacteria-5",3,0.0094
"1","Class","Nitrospira",2,0.0063
"1","Class","Gemm-1",2,0.0063
"1","Class","Verrucomicrobiae",2,0.0063
"1","Class","Gemm-2",2,0.0063
"1","Class","S035",2,0.0063
"1","Class","Acidobacteriia",2,0.0063
"1","Class","Gemm-3",2,0.0063
"1","Class","vadinHA49",2,0.0063
"1","Class","MB-A2-108",2,0.0063
"1","Class","Anaerolineae",1,0.0031
"1","Class","S085",1,0.0031
"1","Class","BPC102",1,0.0031
"1","Class","4C0d-2",1,0.0031
"1","Class","OM190",1,0.0031
"1","Class","Elusimicrobia",1,0.0031
"1","Class","Chloroplast",1,0.0031
"1","Class","Gitt-GS-136",1,0.0031
"1","Class","Bacilli",1,0.0031
"1","Class","Gemm-5",1,0.0031
"1","Class","Ellin6529",1,0.0031
"1","Order","unassigned",36,0.1132
"1","Order","Actinomycetales",21,0.066
"1","Order","Myxococcales",19,0.0597
"1","Order","Rhizobiales",18,0.0566
"1","Order","iii1-15",15,0.0472
"1","Order","RB41",14,0.044
"1","Order","Solirubrobacterales",13,0.0409
"1","Order","Pedosphaerales",13,0.0409
"1","Order","Pirellulales",10,0.0314
"1","Order","Cytophagales",10,0.0314
"1","Order","Saprospirales",8,0.0252
"1","Order","Sphingomonadales",7,0.022
"1","Order","Rubrobacterales",7,0.022
"1","Order","Solibacterales",6,0.0189
"1","Order","Rhodospirillales",6,0.0189
"1","Order","Xanthomonadales",6,0.0189
"1","Order","Gaiellales",6,0.0189
"1","Order","WD2101",5,0.0157
"1","Order","Sva0725",5,0.0157
"1","Order","MND1",5,0.0157
