Taxa	ClimateZone	nTaxa	degree	between	close	eigenv	Kingdom	Phylum	Class	Order	Family	Genus	Species
Taxa1	Aw	58	0.0284043441938179	0.00483351235230935	6.2461682177007	0.0817436063423194	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Syntrophobacterales	f__Syntrophobacteraceae	g__	s__
Taxa1	BSh	58	0.0209551656920078	0.00353313840155945	6.5757700136918	0.0092268108029003	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Syntrophobacterales	f__Syntrophobacteraceae	g__	s__
Taxa1	BSk	58	0.022883295194508	0.0045221750027242	6.63696856588804	0.0221552480267043	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Syntrophobacterales	f__Syntrophobacteraceae	g__	s__
Taxa1	Csa	58	0.0104516610675625	0	7.12173049401459	9.89343478768216e-17	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Syntrophobacterales	f__Syntrophobacteraceae	g__	s__
Taxa1	Dfb	58	0.0233918128654971	0.00473405736563631	7.03202413588958	0.0362612597740279	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Syntrophobacterales	f__Syntrophobacteraceae	g__	s__
Taxa1	Dfc	58	0.0114035087719298	0.00087719298245614	45.0538555482362	0.00454004781498704	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Syntrophobacterales	f__Syntrophobacteraceae	g__	s__
Taxa1	Am	58	0.0225563909774436	0.0021780642081394	12.6966769746158	0.0355081239068816	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Syntrophobacterales	f__Syntrophobacteraceae	g__	s__
Taxa1	EF	58	0.0196078431372549	0.00691065900044228	10.6473327397206	0.00732029195498355	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Syntrophobacterales	f__Syntrophobacteraceae	g__	s__
Taxa1	Af	58	0.0105263157894737	0.000595238095238095	6.41997937807553	0.045481605979427	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Syntrophobacterales	f__Syntrophobacteraceae	g__	s__
Taxa1	Cfb	58	0.0267335004177109	0.0031328320802005	12.7535865155844	0.0925926648263113	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Syntrophobacterales	f__Syntrophobacteraceae	g__	s__
Taxa1	Cwb	58	0.01364522417154	0.000510535598254896	131.278338041882	4.72384452950388e-06	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Syntrophobacterales	f__Syntrophobacteraceae	g__	s__
Taxa1	Dfa	58	0.0165118679050568	0.000737136960047177	15.68903002246	0.0453286094437496	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Syntrophobacterales	f__Syntrophobacteraceae	g__	s__
Taxa1	Dwc	58	0.00389863547758285	0	20.423835756222	8.33063431071059e-06	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Syntrophobacterales	f__Syntrophobacteraceae	g__	s__
Taxa1	Cfa	58	0.0184210526315789	0.0012531328320802	5.5331896454531	0.0362506331237811	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Syntrophobacterales	f__Syntrophobacteraceae	g__	s__
Taxa1	ET	58	0.0224171539961014	0.0122876636034531	9.07893290468469	0.0581455408227041	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Syntrophobacterales	f__Syntrophobacteraceae	g__	s__
Taxa1	Csb	58	0.0142021720969089	0.00107411385606874	3.88030946398617	0.0319131421273877	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Syntrophobacterales	f__Syntrophobacteraceae	g__	s__
Taxa1	Dwb	58	0	0		1.98048483347435e-17	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Syntrophobacterales	f__Syntrophobacteraceae	g__	s__
Taxa10	Csb	58	0.0302144249512671	0.00476886661097187	4.89564074740802	0.030380557398081	k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes	o__Ellin5290	f__	g__	s__
Taxa10	Cwb	58	0.0210526315789474	0.00107769423558897	21.2575855030514	0.00296380242170531	k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes	o__Ellin5290	f__	g__	s__
Taxa10	Am	58	0.0274599542334096	0.0065653263593767	5.84914300952016	0.0425413064124101	k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes	o__Ellin5290	f__	g__	s__
Taxa10	BSk	58	0.0350877192982456	0.0136705399863295	4.72450360578521	0.00259648827492776	k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes	o__Ellin5290	f__	g__	s__
Taxa10	Cfb	58	0.0451127819548872	0.0218999880654016	13.1085023289597	0.0130173930970132	k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes	o__Ellin5290	f__	g__	s__
Taxa10	ET	58	0.0394736842105263	0.0167919799498747	4.1560263825018	0.201059270300831	k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes	o__Ellin5290	f__	g__	s__
Taxa10	Dwb	58	0.0208333333333333	0.003093671679198	12.2714321196015	0.173602173562675	k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes	o__Ellin5290	f__	g__	s__
Taxa10	Dfb	58	0.0313942751615882	0.00379237567603219	8.40014481571736	0.0526315789473685	k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes	o__Ellin5290	f__	g__	s__
Taxa10	Dwc	58	0.0219298245614035	0.002062447786132	9.32234729276441	0.00585010595323659	k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes	o__Ellin5290	f__	g__	s__
Taxa10	BSh	58	0.00365497076023392	0	23.7895425978995	1.44421202288987e-17	k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes	o__Ellin5290	f__	g__	s__
Taxa10	Cfa	58	0.0175438596491228	0.000192789666473877	18.738956417028	0.0373671468158772	k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes	o__Ellin5290	f__	g__	s__
Taxa10	Dfc	58	0.0242914979757085	0.0006265664160401	6.9769871887127	0.150543867785847	k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes	o__Ellin5290	f__	g__	s__
Taxa10	Af	58	0.00184672206832872	0	4.19631372699952	2.03852115847001e-05	k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes	o__Ellin5290	f__	g__	s__
Taxa10	Dfa	58	0.0175438596491228	0.0075187969924812	10.6216303112137	0.00549115679286733	k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes	o__Ellin5290	f__	g__	s__
Taxa10	Aw	58	0.0471491228070175	0.0109649122807018	7.29172088174987	0.0926435743093647	k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes	o__Ellin5290	f__	g__	s__
Taxa100	Dfb	58	0.0175438596491228	0.0018252152119429	6.22443624064495	6.91416609505124e-05	k__Bacteria	p__Gemmatimonadetes	c__Gemm-1	o__	f__	g__	s__
Taxa100	ET	58	0.0245614035087719	0.00711152882205514	4.39876958690829	0.10255917184361	k__Bacteria	p__Gemmatimonadetes	c__Gemm-1	o__	f__	g__	s__
Taxa100	BSk	58	0.0210526315789474	0.00217209690893901	4.77148146101885	0.200609382113178	k__Bacteria	p__Gemmatimonadetes	c__Gemm-1	o__	f__	g__	s__
Taxa100	Cfb	58	0.0101214574898785	0.000289184499710816	22.1305970563041	0.0400049799414464	k__Bacteria	p__Gemmatimonadetes	c__Gemm-1	o__	f__	g__	s__
Taxa100	Csb	58	0.0233918128654971	0.00380116959064328	6.09205395089072	0.017740569222684	k__Bacteria	p__Gemmatimonadetes	c__Gemm-1	o__	f__	g__	s__
Taxa100	Dfa	58	0.0263157894736842	0.0043859649122807	12.7790498575435	0.0336426377094727	k__Bacteria	p__Gemmatimonadetes	c__Gemm-1	o__	f__	g__	s__
Taxa100	Af	58	0.012280701754386	0.000344611528822055	55.0332394497398	0.037437097169684	k__Bacteria	p__Gemmatimonadetes	c__Gemm-1	o__	f__	g__	s__
Taxa100	Am	58	0.0564454614797864	0.0325269695979078	6.63569099594729	0.0657809039681502	k__Bacteria	p__Gemmatimonadetes	c__Gemm-1	o__	f__	g__	s__
Taxa100	Aw	58	0.0605263157894737	0.0336779448621554	6.69184571913806	0.354912346194549	k__Bacteria	p__Gemmatimonadetes	c__Gemm-1	o__	f__	g__	s__
