"index","term","group1","group2","null.value","estimate","conf.low","conf.high","p.adj","p.adj.signif"
"Shannon","ClimateZone","Af","Am",0,0.319619932355762,-0.0329065545747101,0.672146419286235,0.133,"ns"
"Shannon","ClimateZone","Af","Aw",0,0.51620444107158,0.182370739420732,0.850038142722427,9.37e-06,"****"
"Shannon","ClimateZone","Af","BSh",0,0.39562188517449,-0.245522239197409,1.03676600954639,0.796,"ns"
"Shannon","ClimateZone","Af","BSk",0,-0.148882760519475,-0.503505161555972,0.205739640517021,0.994,"ns"
"Shannon","ClimateZone","Af","BWh",0,-0.253677608890507,-1.4831255989488,0.975770381167788,1,"ns"
"Shannon","ClimateZone","Af","BWk",0,0.432428107636444,-0.708592389597312,1.5734486048702,0.998,"ns"
"Shannon","ClimateZone","Af","Cfa",0,0.9912251832596,0.757693341710936,1.22475702480826,3.86e-08,"****"
"Shannon","ClimateZone","Af","Cfb",0,0.368705081582362,0.138600130502164,0.598810032662559,3.11e-06,"****"
"Shannon","ClimateZone","Af","Csa",0,0.451648035021763,-0.368768944114533,1.27206501415806,0.913,"ns"
"Shannon","ClimateZone","Af","Csb",0,0.556983161698998,0.146815361362669,0.967150962035328,0.000292,"***"
"Shannon","ClimateZone","Af","Cwb",0,0.634077982724422,0.0611606952579151,1.20699527019093,0.0134,"*"
"Shannon","ClimateZone","Af","Dfa",0,1.13361440497441,0.895586067848159,1.37164274210066,3.86e-08,"****"
"Shannon","ClimateZone","Af","Dfb",0,0.963006391889301,0.473230378106698,1.45278240567191,3.95e-08,"****"
"Shannon","ClimateZone","Af","Dfc",0,0.244817649684859,-0.011324383823328,0.500959683193045,0.0812,"ns"
"Shannon","ClimateZone","Af","Dwb",0,0.815324139698865,0.148680634422646,1.48196764497509,0.00256,"**"
"Shannon","ClimateZone","Af","Dwc",0,0.107252195928729,-0.18059060362822,0.395094995485677,0.999,"ns"
"Shannon","ClimateZone","Af","EF",0,-1.24042518278263,-1.55771835983632,-0.923132005728933,3.86e-08,"****"
"Shannon","ClimateZone","Af","ET",0,-0.538808573947123,-0.868204490541967,-0.20941265735228,1.59e-06,"****"
"Shannon","ClimateZone","Am","Aw",0,0.196584508715818,-0.187133272915525,0.58030229034716,0.954,"ns"
"Shannon","ClimateZone","Am","BSh",0,0.0760019528187272,-0.592474063055276,0.74447796869273,1,"ns"
"Shannon","ClimateZone","Am","BSk",0,-0.468502692875238,-0.870437318030948,-0.0665680677195271,0.00595,"**"
"Shannon","ClimateZone","Am","BWh",0,-0.573297541246269,-1.81721745661082,0.670622374118283,0.984,"ns"
"Shannon","ClimateZone","Am","BWk",0,0.112808175280681,-1.04379122411815,1.26940757467951,1,"ns"
"Shannon","ClimateZone","Am","Cfa",0,0.671605250903837,0.37105323111478,0.972157270692895,3.86e-08,"****"
"Shannon","ClimateZone","Am","Cfb",0,0.0490851492265993,-0.248811953971455,0.346982252424653,1,"ns"
"Shannon","ClimateZone","Am","Csa",0,0.132028102666001,-0.709921073494471,0.973977278826473,1,"ns"
"Shannon","ClimateZone","Am","Csb",0,0.237363229343236,-0.214335807643688,0.689062266330161,0.942,"ns"
"Shannon","ClimateZone","Am","Cwb",0,0.31445805036866,-0.288889787830958,0.917805888568278,0.946,"ns"
"Shannon","ClimateZone","Am","Dfa",0,0.813994472618647,0.50993545720016,1.11805348803713,3.86e-08,"****"
"Shannon","ClimateZone","Am","Dfb",0,0.643386459533539,0.118338900488695,1.16843401857838,0.00247,"**"
"Shannon","ClimateZone","Am","Dfc",0,-0.0748022826709036,-0.393240874728903,0.243636309387096,1,"ns"
"Shannon","ClimateZone","Am","Dwb",0,0.495704207343103,-0.197266180703267,1.18867459538947,0.544,"ns"
"Shannon","ClimateZone","Am","Dwc",0,-0.212367736427034,-0.55682074169619,0.132085268842123,0.797,"ns"
"Shannon","ClimateZone","Am","EF",0,-1.56004511513839,-1.92946270511889,-1.19062752515789,3.86e-08,"****"
