"level","from","to","No. of climate zones","Climate zones"
"Order","bdellovibrionales","planctomycetales",1,"Dfb"
"Order","bdellovibrionales","rhodobacterales",1,"Dfb"
"Order","bdellovibrionales","saprospirales",2,"Dfc/EF"
"Order","bdellovibrionales","pirellulales",1,"Dwb"
"Order","bdellovibrionales","rhodospirillales",1,"Dwb"
"Order","bdellovibrionales","htcc2188",1,"Dwc"
"Order","bdellovibrionales","wd2101",1,"EF"
"Order","bdellovibrionales","burkholderiales",1,"ET"
"Order","burkholderiales","envops12",1,"Af"
"Order","burkholderiales","ellin6513",1,"Am"
"Order","burkholderiales","myxococcales",1,"Am"
"Order","burkholderiales","nitrospirales",1,"Am"
"Order","burkholderiales","pla1",1,"Am"
"Order","burkholderiales","gaiellales",2,"Am/Csa"
"Order","burkholderiales","syntrophobacterales",2,"Am/Dfc"
"Order","burkholderiales","iib",2,"Am/Dwb"
"Order","burkholderiales","chthonomonadales",1,"Aw"
"Order","burkholderiales","ld1",1,"Aw"
"Order","burkholderiales","stramenopiles",2,"BSh/BSk"
"Order","burkholderiales","gemmatales",3,"BSh/BWh/Dwb"
"Order","burkholderiales","chthoniobacterales",3,"BSh/BWh/EF"
"Order","burkholderiales","wd2101",2,"BSh/BWk"
"Order","burkholderiales","streptophyta",2,"BSh/Cwb"
"Order","burkholderiales","roseiflexales",2,"BSh/EF"
"Order","burkholderiales","solibacterales",1,"BWh"
"Order","burkholderiales","sphingomonadales",2,"BWh/Cfa"
"Order","burkholderiales","pirellulales",2,"BWh/Csa"
"Order","burkholderiales","opitutales",3,"BWh/Csa/Dwc"
"Order","burkholderiales","rb41",1,"BWk"
"Order","burkholderiales","ellin6067",2,"BWk/Dwc"
"Order","burkholderiales","leptospirales",1,"Cfa"
"Order","burkholderiales","mariprofundales",2,"Cfa/Dwb"
"Order","burkholderiales","sphingobacteriales",1,"Csa"
"Order","burkholderiales","caulobacterales",2,"Csa/Csb"
"Order","burkholderiales","mnd1",2,"Csa/Dfa"
"Order","burkholderiales","sbr1031",1,"Csb"
"Order","burkholderiales","ellin5290",1,"Cwb"
"Order","burkholderiales","fimbriimonadales",1,"Cwb"
"Order","burkholderiales","xanthomonadales",1,"Dfb"
"Order","burkholderiales","ccu21",1,"Dfc"
"Order","burkholderiales","htcc2188",1,"Dfc"
"Order","burkholderiales","fac88",2,"Dwb/EF"
"Order","burkholderiales","rickettsiales",2,"Dwb/ET"
"Order","burkholderiales","burkholderiales",1,"Dwc"
"Order","burkholderiales","thiotrichales",1,"Dwc"
"Order","burkholderiales","desulfuromonadales",1,"EF"
"Order","burkholderiales","dh61",1,"EF"
"Order","burkholderiales","n1423wl",1,"EF"
"Order","burkholderiales","pedosphaerales",1,"EF"
"Order","burkholderiales","clostridiales",1,"ET"
"Order","burkholderiales","miz46",1,"ET"
"Order","burkholderiales","pseudomonadales",1,"ET"
"Order","caulobacterales","sbr1031",1,"Af"
"Order","caulobacterales","iib",1,"Am"
"Order","caulobacterales","planctomycetales",1,"Am"
"Order","caulobacterales","stramenopiles",1,"Am"
"Order","caulobacterales","ellin6513",2,"Am/Dwb"
"Order","caulobacterales","sva0725",2,"Aw/Cfa"
"Order","caulobacterales","clostridiales",2,"Aw/Dwb"
"Order","caulobacterales","gemmatales",2,"Aw/Dwb"
"Order","caulobacterales","roseiflexales",2,"BSh/BSk"
"Order","caulobacterales","dh61",1,"BSk"
"Order","caulobacterales","myxococcales",2,"BSk/BWh"
"Order","caulobacterales","rb41",1,"BWh"
"Order","caulobacterales","solibacterales",1,"BWh"
"Order","caulobacterales","wd2101",3,"BWh/Cwb/ET"
"Order","caulobacterales","xanthomonadales",2,"BWh/EF"
"Order","caulobacterales","ellin5290",1,"Cfa"
"Order","caulobacterales","thiotrichales",1,"Cfa"
"Order","caulobacterales","pedosphaerales",1,"Csa"
"Order","caulobacterales","rhodospirillales",1,"Csa"
"Order","caulobacterales","saprospirales",1,"Csa"
"Order","caulobacterales","unassigned",2,"Csa/Dfb"
"Order","caulobacterales","gemmatimonadales",2,"Csa/Dfc"
"Order","caulobacterales","syntrophobacterales",2,"Csa/EF"
"Order","caulobacterales","chthoniobacterales",1,"Csb"
"Order","caulobacterales","mariprofundales",1,"Csb"
"Order","caulobacterales","fac88",2,"Csb/Dwb"
"Order","caulobacterales","ccu21",1,"Dfa"
"Order","caulobacterales","flavobacteriales",2,"Dfa/EF"
"Order","caulobacterales","h39",1,"Dfb"
"Order","caulobacterales","mnd1",1,"Dwb"
"Order","caulobacterales","chthonomonadales",2,"Dwb/EF"
"Order","caulobacterales","ellin6067",2,"Dwb/EF"
"Order","caulobacterales","desulfuromonadales",1,"EF"
"Order","caulobacterales","pseudomonadales",1,"EF"
"Order","ccm11a","verrucomicrobiales",1,"Af"
"Order","ccm11a","cytophagales",2,"Af/Dfc"
"Order","ccm11a","n1423wl",1,"Aw"
"Order","ccm11a","clostridiales",1,"BSk"
"Order","ccm11a","h39",1,"BSk"
"Order","ccm11a","pseudomonadales",1,"BSk"
"Order","ccm11a","pedosphaerales",2,"BSk/Dfc"
"Order","ccm11a","ellin5290",1,"Cfa"
"Order","ccm11a","solibacterales",2,"Cfa/Dfb"
"Order","ccm11a","mnd1",1,"Cfb"
"Order","ccm11a","pirellulales",1,"Cfb"
"Order","ccm11a","rb41",1,"Cfb"
"Order","ccm11a","syntrophobacterales",2,"Cfb/Dfc"
"Order","ccm11a","rhodospirillales",1,"Csb"
"Order","ccm11a","sphingobacteriales",1,"Dfa"
"Order","ccm11a","ccu21",2,"Dfa/Dwc"
"Order","ccm11a","ellin6513",1,"Dfc"
"Order","ccm11a","sphingomonadales",1,"Dfc"
"Order","ccm11a","planctomycetales",1,"Dwb"
"Order","ccm11a","saprospirales",1,"Dwb"
"Order","ccm11a","sbr1031",1,"Dwb"
"Order","ccm11a","wd2101",1,"Dwb"
"Order","ccm11a","iib",1,"Dwc"
"Order","ccm11a","ellin329",1,"ET"
"Order","ccm11a","htcc2188",1,"ET"
"Order","ccm11a","opitutales",1,"ET"
"Order","ccu21","fimbriimonadales",2,"Am/Dfc"
"Order","ccu21","ellin5290",1,"Aw"
"Order","ccu21","iib",1,"Aw"
"Order","ccu21","n1423wl",2,"Aw/Cfa"
"Order","ccu21","streptophyta",2,"Aw/Csb"
"Order","ccu21","desulfuromonadales",2,"Aw/Dfb"
"Order","ccu21","nitrospirales",2,"BSh/BWk"
"Order","ccu21","rb41",2,"BSh/ET"
"Order","ccu21","gemmatales",2,"BWk/ET"
"Order","ccu21","ccu21",2,"Cfa/Dfc"
"Order","ccu21","chthoniobacterales",1,"Cfb"
"Order","ccu21","xanthomonadales",1,"Cfb"
"Order","ccu21","mariprofundales",2,"Cfb/Dwc"
"Order","ccu21","leptospirales",1,"Csb"
"Order","ccu21","miz46",1,"Csb"
"Order","ccu21","clostridiales",2,"Csb/EF"
"Order","ccu21","rickettsiales",1,"Cwb"
"Order","ccu21","gemmatimonadales",1,"Dfa"
"Order","ccu21","rhodobacterales",1,"Dfa"
"Order","ccu21","unassigned",1,"Dfa"
"Order","ccu21","pseudomonadales",1,"Dfb"
"Order","ccu21","sbr1031",2,"Dfb/Dwb"
"Order","ccu21","envops12",1,"Dfc"
"Order","ccu21","stramenopiles",1,"Dfc"
"Order","ccu21","verrucomicrobiales",1,"Dfc"
"Order","ccu21","sphingomonadales",1,"Dwb"
"Order","ccu21","h39",2,"Dwb/EF"
"Order","ccu21","ellin329",2,"Dwc/EF"
"Order","ccu21","flavobacteriales",1,"EF"
"Order","chthoniobacterales","sphingomonadales",2,"Af/EF"
"Order","chthoniobacterales","dh61",2,"Aw/BSk"
"Order","chthoniobacterales","sphingobacteriales",1,"BSh"
"Order","chthoniobacterales","opitutales",2,"BSh/Cwb"
"Order","chthoniobacterales","rhodobacterales",3,"BSh/Cwb/EF"
"Order","chthoniobacterales","fimbriimonadales",1,"BSk"
"Order","chthoniobacterales","n1423wl",1,"BSk"
"Order","chthoniobacterales","pirellulales",2,"BWh/Cfb"
"Order","chthoniobacterales","stramenopiles",2,"BWh/Cwb"
"Order","chthoniobacterales","solirubrobacterales",2,"BWh/EF"
"Order","chthoniobacterales","pedosphaerales",2,"BWk/Cwb"
"Order","chthoniobacterales","gemmatales",2,"BWk/Dwc"
"Order","chthoniobacterales","clostridiales",1,"Cfa"
"Order","chthoniobacterales","rhizobiales",1,"Cfa"
"Order","chthoniobacterales","sbr1031",2,"Cfa/Dwc"
"Order","chthoniobacterales","ellin5290",1,"Cfb"
"Order","chthoniobacterales","h39",1,"Cfb"
"Order","chthoniobacterales","ld1",1,"Cfb"
"Order","chthoniobacterales","unassigned",1,"Cfb"
"Order","chthoniobacterales","mnd1",3,"Cfb/Csa/Cwb"
"Order","chthoniobacterales","ellin6067",2,"Cfb/Dwb"
"Order","chthoniobacterales","sva0725",2,"Cfb/ET"
"Order","chthoniobacterales","cytophagales",1,"Csa"
"Order","chthoniobacterales","syntrophobacterales",2,"Csa/Dfa"
"Order","chthoniobacterales","mariprofundales",1,"Csb"
"Order","chthoniobacterales","gaiellales",2,"Cwb/Dfc"
"Order","chthoniobacterales","iib",2,"Cwb/Dfc"
"Order","chthoniobacterales","htcc2188",1,"Dfa"
"Order","chthoniobacterales","pla1",2,"Dfa/Dfb"
"Order","chthoniobacterales","ellin329",1,"Dfb"
"Order","chthoniobacterales","ellin6513",1,"Dfb"
"Order","chthoniobacterales","rickettsiales",1,"Dfb"
"Order","chthoniobacterales","wd2101",1,"Dfb"
"Order","chthoniobacterales","gemmatimonadales",2,"Dfb/ET"
"Order","chthoniobacterales","desulfuromonadales",2,"Dfc/EF"
"Order","chthoniobacterales","rb41",1,"Dwc"
"Order","chthoniobacterales","streptophyta",1,"EF"
"Order","chthoniobacterales","leptospirales",1,"ET"
"Order","chthoniobacterales","myxococcales",1,"ET"
"Order","chthoniobacterales","pseudomonadales",1,"ET"
"Order","chthoniobacterales","roseiflexales",1,"ET"
"Order","chthonomonadales","sva0725",1,"Af"
"Order","chthonomonadales","verrucomicrobiales",1,"Af"
"Order","chthonomonadales","iib",1,"BSh"
"Order","chthonomonadales","rhodospirillales",1,"BSh"
"Order","chthonomonadales","rickettsiales",1,"BSh"
"Order","chthonomonadales","ellin329",2,"BSh/BSk"
"Order","chthonomonadales","gaiellales",2,"BSh/Dwb"
"Order","chthonomonadales","rhizobiales",2,"BSh/Dwb"
"Order","chthonomonadales","mnd1",1,"BSk"
"Order","chthonomonadales","solirubrobacterales",2,"BSk/ET"
"Order","chthonomonadales","gemmatales",1,"Cfa"
"Order","chthonomonadales","n1423wl",1,"Csb"
"Order","chthonomonadales","rb41",1,"Csb"
"Order","chthonomonadales","unassigned",1,"Cwb"
"Order","chthonomonadales","pirellulales",3,"Cwb/EF/ET"
"Order","chthonomonadales","wd2101",1,"Dfa"
"Order","chthonomonadales","ellin5290",1,"Dfb"
"Order","chthonomonadales","roseiflexales",1,"Dfb"
"Order","chthonomonadales","gemmatimonadales",1,"Dfc"
"Order","chthonomonadales","miz46",1,"Dfc"
"Order","chthonomonadales","xanthomonadales",2,"Dfc/ET"
"Order","chthonomonadales","planctomycetales",1,"Dwb"
"Order","chthonomonadales","sphingobacteriales",1,"Dwb"
"Order","chthonomonadales","solibacterales",1,"EF"
"Order","clostridiales","planctomycetales",1,"Af"
"Order","clostridiales","rhodospirillales",1,"Af"
"Order","clostridiales","solibacterales",2,"Af/Csb"
"Order","clostridiales","rb41",2,"Am/BWk"
"Order","clostridiales","iib",1,"Aw"
"Order","clostridiales","roseiflexales",1,"Aw"
"Order","clostridiales","gemmatales",2,"Aw/BSh"
"Order","clostridiales","saprospirales",1,"BSh"
"Order","clostridiales","stramenopiles",1,"BSh"
"Order","clostridiales","wd2101",1,"BSh"
"Order","clostridiales","syntrophobacterales",1,"BSk"
"Order","clostridiales","flavobacteriales",2,"BSk/EF"
"Order","clostridiales","rhodobacterales",2,"BSk/EF"
"Order","clostridiales","miz46",2,"BWk/Csb"
"Order","clostridiales","fac88",1,"Cfa"
"Order","clostridiales","clostridiales",1,"Cfb"
"Order","clostridiales","verrucomicrobiales",2,"Cfb/ET"
"Order","clostridiales","myxococcales",2,"Csb/Cwb"
"Order","clostridiales","sva0725",2,"Csb/Dfb"
"Order","clostridiales","gemmatimonadales",2,"Csb/Dfc"
"Order","clostridiales","pedosphaerales",1,"Cwb"
"Order","clostridiales","unassigned",1,"Cwb"
"Order","clostridiales","sphingobacteriales",3,"Cwb/EF/ET"
"Order","clostridiales","xanthomonadales",1,"Dfc"
"Order","clostridiales","fimbriimonadales",1,"Dwb"
"Order","clostridiales","h39",1,"Dwb"
"Order","clostridiales","desulfuromonadales",1,"Dwc"
"Order","clostridiales","ellin329",1,"EF"
"Order","clostridiales","leptospirales",1,"EF"
"Order","clostridiales","mnd1",1,"EF"
"Order","clostridiales","pseudomonadales",1,"EF"
"Order","clostridiales","sphingomonadales",1,"EF"
"Order","clostridiales","opitutales",1,"ET"
"Order","cytophagales","dh61",1,"Af"
"Order","cytophagales","sphingomonadales",3,"Am/Cfa/Csa"
"Order","cytophagales","syntrophobacterales",2,"Am/Csa"
"Order","cytophagales","ellin6513",1,"Aw"
"Order","cytophagales","mariprofundales",1,"Aw"
"Order","cytophagales","sva0725",1,"Aw"
"Order","cytophagales","rhizobiales",3,"Aw/Cfa/Dfa"
"Order","cytophagales","thiotrichales",2,"BSk/Csb"
"Order","cytophagales","ellin6067",2,"BSk/EF"
"Order","cytophagales","desulfuromonadales",1,"Cfa"
"Order","cytophagales","envops12",1,"Cfa"
"Order","cytophagales","rickettsiales",1,"Cfa"
"Order","cytophagales","verrucomicrobiales",2,"Cfa/Dfa"
"Order","cytophagales","ld1",2,"Cfa/Dfb"
"Order","cytophagales","gaiellales",1,"Csb"
"Order","cytophagales","gemmatimonadales",1,"Csb"
"Order","cytophagales","ellin329",1,"Dfa"
"Order","cytophagales","xanthomonadales",1,"Dfa"
"Order","cytophagales","fimbriimonadales",1,"Dfc"
"Order","cytophagales","myxococcales",1,"Dfc"
"Order","cytophagales","sbr1031",1,"Dfc"
"Order","cytophagales","leptospirales",2,"Dfc/ET"
"Order","cytophagales","wd2101",2,"Dfc/ET"
"Order","cytophagales","iib",1,"Dwb"
"Order","cytophagales","n1423wl",2,"Dwc/EF"
"Order","cytophagales","ellin5290",2,"Dwc/ET"
"Order","cytophagales","h39",1,"EF"
"Order","cytophagales","roseiflexales",1,"EF"
"Order","cytophagales","streptophyta",1,"ET"
"Order","desulfuromonadales","gemmatales",2,"Af/Am"
"Order","desulfuromonadales","pirellulales",2,"Af/Cwb"
"Order","desulfuromonadales","ld1",1,"Am"
"Order","desulfuromonadales","rhizobiales",2,"Am/Cwb"
"Order","desulfuromonadales","fac88",2,"Am/Dwc"
"Order","desulfuromonadales","pseudomonadales",3,"Am/EF/ET"
"Order","desulfuromonadales","flavobacteriales",1,"Aw"
"Order","desulfuromonadales","htcc2188",1,"Aw"
"Order","desulfuromonadales","sphingobacteriales",2,"Aw/Dwb"
"Order","desulfuromonadales","solirubrobacterales",2,"Aw/EF"
"Order","desulfuromonadales","rhodobacterales",2,"BSk/Csb"
"Order","desulfuromonadales","leptospirales",2,"BSk/Dwb"
"Order","desulfuromonadales","fimbriimonadales",1,"Cfa"
"Order","desulfuromonadales","opitutales",1,"Cfa"
"Order","desulfuromonadales","xanthomonadales",1,"Cfa"
"Order","desulfuromonadales","stramenopiles",2,"Cfa/ET"
"Order","desulfuromonadales","ellin6513",1,"Cfb"
"Order","desulfuromonadales","sphingomonadales",1,"Cfb"
"Order","desulfuromonadales","verrucomicrobiales",1,"Csb"
"Order","desulfuromonadales","gaiellales",2,"Cwb/Dfb"
"Order","desulfuromonadales","ellin329",1,"Dfa"
"Order","desulfuromonadales","myxococcales",1,"Dfa"
"Order","desulfuromonadales","sbr1031",1,"Dfa"
"Order","desulfuromonadales","ellin5290",2,"Dfa/Dfb"
"Order","desulfuromonadales","envops12",1,"Dfc"
"Order","desulfuromonadales","nitrospirales",1,"Dfc"
"Order","desulfuromonadales","roseiflexales",1,"Dfc"
"Order","desulfuromonadales","n1423wl",2,"Dfc/Dwb"
"Order","desulfuromonadales","iib",2,"Dfc/Dwc"
"Order","desulfuromonadales","h39",1,"Dwb"
"Order","desulfuromonadales","rb41",1,"Dwb"
"Order","desulfuromonadales","syntrophobacterales",1,"Dwb"
"Order","desulfuromonadales","wd2101",1,"Dwb"
"Order","desulfuromonadales","planctomycetales",1,"Dwc"
"Order","desulfuromonadales","solibacterales",1,"EF"
"Order","dh61","leptospirales",1,"Af"
"Order","dh61","pseudomonadales",2,"Af/Dfc"
"Order","dh61","gemmatales",2,"Aw/BWk"
"Order","dh61","ellin329",1,"BSh"
"Order","dh61","flavobacteriales",1,"BSh"
"Order","dh61","rb41",2,"BSh/Cfa"
"Order","dh61","fimbriimonadales",2,"BSk/Cwb"
"Order","dh61","solirubrobacterales",2,"Cfa/Dfb"
"Order","dh61","iib",1,"Cfb"
"Order","dh61","ellin6067",1,"Csb"
"Order","dh61","mnd1",2,"Csb/Dfb"
"Order","dh61","h39",1,"Dfb"
"Order","dh61","sva0725",1,"Dfb"
"Order","dh61","sphingomonadales",1,"Dfc"
"Order","dh61","roseiflexales",2,"Dfc/EF"
"Order","dh61","ellin6513",1,"Dwb"
"Order","dh61","pirellulales",1,"Dwb"
"Order","dh61","rhodospirillales",1,"Dwb"
"Order","dh61","syntrophobacterales",1,"Dwb"
"Order","dh61","wd2101",1,"Dwb"
"Order","dh61","xanthomonadales",1,"Dwb"
"Order","dh61","fac88",1,"EF"
"Order","dh61","miz46",1,"EF"
"Order","dh61","saprospirales",1,"EF"
"Order","dh61","verrucomicrobiales",1,"EF"
"Order","dh61","n1423wl",1,"ET"
"Order","dh61","nitrospirales",1,"ET"
"Order","dh61","sphingobacteriales",1,"ET"
"Order","ellin329","htcc2188",1,"Af"
"Order","ellin329","flavobacteriales",1,"Am"
"Order","ellin329","ellin5290",1,"Aw"
"Order","ellin329","fimbriimonadales",1,"Aw"
"Order","ellin329","stramenopiles",1,"Aw"
"Order","ellin329","wd2101",2,"Aw/BSh"
"Order","ellin329","streptophyta",1,"BSh"
"Order","ellin329","gaiellales",2,"BSh/Csa"
"Order","ellin329","roseiflexales",2,"BSh/Cwb"
"Order","ellin329","rickettsiales",2,"BSh/ET"
"Order","ellin329","mariprofundales",1,"BSk"
"Order","ellin329","n1423wl",1,"Cfa"
"Order","ellin329","sva0725",1,"Cfa"
"Order","ellin329","mnd1",2,"Cfa/Dfa"
"Order","ellin329","ellin6067",1,"Cfb"
"Order","ellin329","iib",1,"Cfb"
"Order","ellin329","solirubrobacterales",1,"Csa"
"Order","ellin329","unassigned",1,"Csa"
"Order","ellin329","xanthomonadales",1,"Csa"
"Order","ellin329","pla1",1,"Csb"
"Order","ellin329","gemmatales",1,"Cwb"
"Order","ellin329","planctomycetales",1,"Cwb"
"Order","ellin329","ld1",2,"Dfb/Dfc"
"Order","ellin329","syntrophobacterales",1,"Dwb"
"Order","ellin329","nitrospirales",2,"Dwb/Dwc"
"Order","ellin329","ellin6513",1,"Dwc"
"Order","ellin329","rhizobiales",1,"EF"
"Order","ellin329","saprospirales",1,"ET"
"Order","ellin5290","n1423wl",1,"Af"
"Order","ellin5290","opitutales",2,"Af/Dwc"
"Order","ellin5290","pseudomonadales",1,"Am"
"Order","ellin5290","wd2101",1,"Am"
"Order","ellin5290","flavobacteriales",2,"BSh/ET"
"Order","ellin5290","gemmatales",1,"Cfb"
"Order","ellin5290","h39",1,"Cfb"
"Order","ellin5290","ellin5290",2,"Cfb/Dfa"
"Order","ellin5290","rhodobacterales",1,"Csb"
"Order","ellin5290","roseiflexales",1,"Dfa"
"Order","ellin5290","ld1",1,"Dfb"
"Order","ellin5290","streptophyta",1,"Dfb"
"Order","ellin5290","sphingomonadales",2,"Dfb/Dwb"
"Order","ellin5290","ellin6513",2,"Dfb/Dwc"
"Order","ellin5290","fimbriimonadales",1,"Dwb"
"Order","ellin5290","pirellulales",1,"Dwb"
"Order","ellin5290","solirubrobacterales",1,"Dwb"
"Order","ellin5290","syntrophobacterales",1,"Dwb"
"Order","ellin5290","pedosphaerales",1,"Dwc"
"Order","ellin5290","sphingobacteriales",1,"Dwc"
"Order","ellin5290","thiotrichales",1,"Dwc"
"Order","ellin5290","unassigned",1,"Dwc"
"Order","ellin5290","xanthomonadales",1,"Dwc"
"Order","ellin5290","nitrospirales",1,"ET"
"Order","ellin5290","verrucomicrobiales",1,"ET"
"Order","ellin6067","stramenopiles",1,"Af"
"Order","ellin6067","syntrophobacterales",1,"Am"
"Order","ellin6067","verrucomicrobiales",1,"Am"
"Order","ellin6067","miz46",2,"Am/BWk"
"Order","ellin6067","roseiflexales",2,"Am/Cfa"
"Order","ellin6067","fimbriimonadales",1,"Aw"
"Order","ellin6067","solirubrobacterales",1,"Aw"
"Order","ellin6067","gemmatimonadales",1,"BSh"
"Order","ellin6067","opitutales",1,"BSk"
"Order","ellin6067","thiotrichales",1,"BSk"
"Order","ellin6067","myxococcales",2,"BSk/Csa"
"Order","ellin6067","gemmatales",2,"BSk/Dfa"
"Order","ellin6067","sphingomonadales",2,"BSk/Dfa"
"Order","ellin6067","pedosphaerales",2,"BSk/EF"
"Order","ellin6067","ellin6513",2,"Cfa/Dwb"
"Order","ellin6067","iib",1,"Csb"
"Order","ellin6067","mariprofundales",1,"Csb"
"Order","ellin6067","rhizobiales",1,"Csb"
"Order","ellin6067","wd2101",1,"Cwb"
"Order","ellin6067","rhodobacterales",2,"Cwb/Dfa"
"Order","ellin6067","nitrospirales",2,"Cwb/Dwb"
"Order","ellin6067","h39",1,"Dfa"
"Order","ellin6067","pseudomonadales",2,"Dfa/Dwb"
"Order","ellin6067","rhodospirillales",1,"Dwb"
"Order","ellin6067","pirellulales",1,"Dwc"
"Order","ellin6067","xanthomonadales",1,"Dwc"
"Order","ellin6067","solibacterales",1,"EF"
"Order","ellin6067","sphingobacteriales",1,"EF"
"Order","ellin6067","envops12",1,"ET"
"Order","ellin6513","envops12",1,"Am"
"Order","ellin6513","gemmatales",1,"Am"
"Order","ellin6513","sphingomonadales",1,"Am"
"Order","ellin6513","verrucomicrobiales",2,"Am/BSh"
"Order","ellin6513","flavobacteriales",1,"Aw"
"Order","ellin6513","h39",1,"Aw"
"Order","ellin6513","htcc2188",1,"Aw"
"Order","ellin6513","rhizobiales",1,"Aw"
"Order","ellin6513","pseudomonadales",1,"BSh"
"Order","ellin6513","gemmatimonadales",2,"BSh/BSk"
"Order","ellin6513","pla1",1,"Cfa"
"Order","ellin6513","fimbriimonadales",1,"Csb"
"Order","ellin6513","planctomycetales",1,"Csb"
"Order","ellin6513","stramenopiles",1,"Csb"
"Order","ellin6513","streptophyta",1,"Csb"
"Order","ellin6513","solibacterales",1,"Dfa"
"Order","ellin6513","n1423wl",1,"Dfb"
"Order","ellin6513","roseiflexales",1,"Dfc"
"Order","ellin6513","sphingobacteriales",1,"Dwb"
"Order","ellin6513","myxococcales",1,"ET"
"Order","ellin6513","thiotrichales",1,"ET"
"Order","envops12","pla1",1,"Af"
"Order","envops12","syntrophobacterales",1,"Af"
"Order","envops12","gemmatales",1,"Am"
"Order","envops12","rhizobiales",1,"Am"
"Order","envops12","saprospirales",2,"Am/ET"
"Order","envops12","n1423wl",1,"Aw"
"Order","envops12","rhodospirillales",1,"Aw"
"Order","envops12","solibacterales",1,"Aw"
"Order","envops12","gemmatimonadales",1,"BSk"
"Order","envops12","sphingomonadales",1,"BSk"
"Order","envops12","planctomycetales",2,"BSk/Dfb"
"Order","envops12","flavobacteriales",1,"Cfa"
"Order","envops12","sbr1031",1,"Cfb"
"Order","envops12","xanthomonadales",1,"Csb"
"Order","envops12","mnd1",1,"Dfa"
"Order","envops12","wd2101",1,"Dfa"
"Order","envops12","nitrospirales",1,"Dfb"
"Order","envops12","verrucomicrobiales",1,"Dfc"
"Order","envops12","gaiellales",2,"Dfc/ET"
"Order","envops12","fac88",1,"Dwb"
"Order","envops12","opitutales",1,"Dwb"
"Order","envops12","iib",1,"Dwc"
"Order","fac88","fimbriimonadales",1,"Af"
"Order","fac88","pla1",1,"Af"
"Order","fac88","xanthomonadales",2,"Af/Cwb"
"Order","fac88","flavobacteriales",2,"Am/Dfc"
"Order","fac88","sphingomonadales",1,"Aw"
"Order","fac88","gemmatales",2,"Aw/BSh"
"Order","fac88","myxococcales",1,"BSh"
"Order","fac88","stramenopiles",2,"BSh/EF"
"Order","fac88","sbr1031",1,"BSk"
"Order","fac88","streptophyta",2,"BSk/EF"
"Order","fac88","opitutales",2,"BWh/Dwb"
"Order","fac88","pedosphaerales",1,"BWk"
"Order","fac88","rb41",2,"BWk/Cfa"
"Order","fac88","fac88",1,"Cfa"
"Order","fac88","htcc2188",1,"Cfa"
"Order","fac88","ld1",2,"Cfa/Dfa"
"Order","fac88","rhizobiales",2,"Csb/Cwb"
"Order","fac88","pseudomonadales",1,"Cwb"
"Order","fac88","roseiflexales",1,"Cwb"
"Order","fac88","sphingobacteriales",2,"Cwb/Dwb"
"Order","fac88","leptospirales",1,"Dfa"
"Order","fac88","solibacterales",1,"Dfb"
"Order","fac88","rickettsiales",1,"Dwb"
"Order","fac88","gemmatimonadales",1,"Dwc"
"Order","fac88","miz46",1,"EF"
"Order","fac88","pirellulales",1,"EF"
"Order","fac88","rhodobacterales",1,"EF"
"Order","fac88","saprospirales",1,"EF"
"Order","fac88","thiotrichales",1,"ET"
"Order","fac88","wd2101",1,"ET"
"Order","fimbriimonadales","iib",1,"Af"
"Order","fimbriimonadales","leptospirales",1,"Af"
"Order","fimbriimonadales","mnd1",1,"Am"
"Order","fimbriimonadales","rhizobiales",1,"Aw"
"Order","fimbriimonadales","gemmatimonadales",1,"BSh"
"Order","fimbriimonadales","nitrospirales",1,"BSh"
"Order","fimbriimonadales","opitutales",1,"BSh"
"Order","fimbriimonadales","planctomycetales",1,"BSh"
"Order","fimbriimonadales","pseudomonadales",1,"BSh"
"Order","fimbriimonadales","syntrophobacterales",1,"BSh"
"Order","fimbriimonadales","h39",1,"BSk"
"Order","fimbriimonadales","rhodobacterales",1,"BSk"
"Order","fimbriimonadales","htcc2188",1,"Cfa"
"Order","fimbriimonadales","fimbriimonadales",2,"Cfa/Dfb"
"Order","fimbriimonadales","stramenopiles",2,"Cfa/Dfc"
"Order","fimbriimonadales","verrucomicrobiales",1,"Cfb"
"Order","fimbriimonadales","sphingomonadales",2,"Cfb/Csb"
"Order","fimbriimonadales","wd2101",2,"Cfb/ET"
"Order","fimbriimonadales","roseiflexales",1,"Csb"
"Order","fimbriimonadales","streptophyta",1,"Csb"
"Order","fimbriimonadales","gemmatales",3,"Csb/Dfb/Dfc"
"Order","fimbriimonadales","rickettsiales",2,"Csb/Dfc"
"Order","fimbriimonadales","xanthomonadales",1,"Cwb"
"Order","fimbriimonadales","rb41",1,"Dfa"
"Order","fimbriimonadales","saprospirales",1,"Dfa"
"Order","fimbriimonadales","gaiellales",1,"Dwb"
"Order","fimbriimonadales","miz46",1,"Dwb"
"Order","fimbriimonadales","solirubrobacterales",1,"Dwb"
"Order","fimbriimonadales","sphingobacteriales",1,"Dwb"
"Order","fimbriimonadales","unassigned",1,"ET"
"Order","flavobacteriales","rhodospirillales",1,"Af"
"Order","flavobacteriales","sbr1031",1,"Af"
"Order","flavobacteriales","miz46",1,"Am"
"Order","flavobacteriales","roseiflexales",1,"Am"
"Order","flavobacteriales","saprospirales",1,"Am"
"Order","flavobacteriales","mnd1",1,"BSh"
"Order","flavobacteriales","sphingobacteriales",2,"Csa/Dfa"
"Order","flavobacteriales","ld1",1,"Csb"
"Order","flavobacteriales","gaiellales",2,"Csb/Dwc"
